Markets in marrakech |Price|Range	
Milk (regular) (1 liter)|	8.30 MAD|	7.00-10.00
Loaf of Fresh White Bread (500g)|	4.00 MAD|	2.00-20.00
Rice (white)| (1kg)|	17.27 MAD|	5.00-20.00
Eggs (regular) (12)|	18.80 MAD|	13.20-26.00
Local Cheese (1kg)|	85.00 MAD|	50.00-130.00
Chicken Fillets (1kg)|	50.23 MAD|	20.00-70.00
Beef Round (1kg) (or Equivalent Back Leg Red Meat)|	91.00 MAD|	75.00-120.00
Apples (1kg)|	13.50 MAD|	8.00-18.00
Banana (1kg)|	11.07 MAD|	7.00-15.00
Oranges (1kg)|	7.31 MAD|	3.00-9.00
Tomato (1kg)|	7.69 MAD|	4.00-14.00
Potato (1kg)|	6.62 MAD|	4.00-9.00
Onion (1kg)|	6.23 MAD|	3.00-11.00
Lettuce (1 head)|	4.94 MAD|	1.50-8.00
Water (1.5 liter bottle)|	5.58 MAD|	5.00-7.00
Bottle of Wine (Mid-Range)|	60.00 MAD|	50.00-75.00
Domestic Beer (0.5 liter bottle)|	20.15 MAD|	15.00-25.00
Imported Beer (0.33 liter bottle)|	23.40 MAD|	12.00-35.00
Cigarettes 20 Pack (Marlboro)|	40.00 MAD|	39.00-42.00
